,u_in,u_out,vy_in,r_in,xg_in,yg_in,theta_in,t,vy_out,r_out,xg_out,yg_out,theta_out
0,0.0,-5.5036710032949875e-05,0.0,0.0,10.0,10.0,3.07177948351002,0.0,-3.091496530167786e-06,-4.119399367608219e-06,9.700730785770153,10.02092695425163,3.071779469247996
1,-5.5036710032949875e-05,-0.00011035437215632718,-3.091496530167786e-06,-4.119399367608219e-06,9.700730785770153,10.02092695425163,3.071779469247996,0.01,-1.0842722669573704e-05,-1.6325053687655914e-05,9.401461576369066,10.041853977557697,3.07177937474097
2,-0.00011035437215632718,-0.00016595269032194227,-1.0842722669573704e-05,-1.6325053687655914e-05,9.401461576369066,10.041853977557697,3.07177937474097,0.02,-2.084223447308599e-05,-3.636798914653562e-05,9.102192376896861,10.06278114285278,3.071779117687069
3,-0.00016595269032194227,-0.00022183136848160558,-2.084223447308599e-05,-3.636798914653562e-05,9.102192376896861,10.06278114285278,3.071779117687069,0.03,-3.088579293411883e-05,-6.400722627371828e-05,8.802923192282508,10.083708520622611,3.0717786220948717
4,-0.00022183136848160558,-0.0002779901105871274,-3.088579293411883e-05,-6.400722627371828e-05,8.802923192282508,10.083708520622611,3.0717786220948717,0.04,-3.882145530493759e-05,-9.899660192439658e-05,8.503654027583677,10.104636183190989,3.071777813150163
5,-0.0002779901105871274,-0.0003344286205903182,-3.882145530493759e-05,-9.899660192439658e-05,8.503654027583677,10.104636183190989,3.071777813150163,0.05,-4.2588845971207026e-05,-0.00014108886773705776,8.204384887925244,10.125564203839186,3.071776618553749
6,-0.0003344286205903182,-0.0003911466024429882,-4.2588845971207026e-05,-0.00014108886773705776,8.204384887925244,10.125564203839186,3.071776618553749,0.06,-4.021895211691588e-05,-0.0001900358026963538,7.90511577851222,10.146492656990114,3.0717749685187443
7,-0.0003911466024429882,-0.0004481437600969479,-4.021895211691588e-05,-0.0001900358026963538,7.90511577851222,10.146492656990114,3.0717749685187443,0.07,-2.9830728395394897e-05,-0.0002455889357184972,7.60584670464313,10.167421618398727,3.0717727957096734
8,-0.0004481437600969479,-0.0005054197975040077,-2.9830728395394897e-05,-0.0002455889357184972,7.60584670464313,10.167421618398727,3.0717727957096734,0.08,-9.638360434411157e-06,-0.00030749967172269725,7.30657767172122,10.188351165312147,3.0717700354518205
9,-0.0005054197975040077,-0.0005629744186159779,-9.638360434411157e-06,-0.00030749967172269725,7.30657767172122,10.188351165312147,3.0717700354518205,0.09,2.206443731064844e-05,-0.00037552025991322073,7.007308685259758,10.209281376546274,3.071766625337343
